,lat,long
S. Agostin,45.438717211669264,12.328540210528535
S. Angelo,45.43462904362733,12.331981901962351
Angelo Rafael,,
S. Antonino,45.435757847647075,12.346070199346645
S. Aponal,45.43765888036468,12.331960247002252
S. Barnaba,45.432493793888334,12.32422914864182
S. Basilio,45.43198958972043,12.321568897997587
S. Basso,45.43509222202267,12.339399408898846
S. Biagio,45.432870230406955,12.350661310688436
S. Bartolomeo,45.43771013419939,12.336432323385901
S. Canziano,45.440062426637766,12.337449335168564
S. Croce,45.43693605625931,12.321590286455335
S. Eufemia,45.42483110840366,12.324319049069846
S. Felice,45.44239311557529,12.333655924691874
S. Fosca,45.442881701209274,12.332127130642933
S. Geremia,45.443775329429286,12.321596364703405
S. Giacomo dell'Orio,45.44017756017277,12.327914351645079
S. Giovanni di Rialto,45.43854570420092,12.334498768312463
S. Giovanni Crisostomo,45.43891660658183,12.337221051798345
S. Giovanni Battista in Bragora,45.43470279361069,12.347193931482288
S. Giovanni Novo,45.43542967382741,12.341306338912869
S. Lio,45.43735942221907,12.33918026788631
S. Luca,45.436009070957994,12.334838358810325
S. Leonardo,45.443314370846004,12.327377563718446
S. Marcilian,45.44439735827709,12.332266117597559
S. Marco,45.43416082586918,12.338353526530287
S. Marcuola,45.44388520561728,12.329202818734554
S. Margherita,45.43433282998754,12.323972208779304
S. Maria Formosa,45.43676579209237,12.341766093869497
S. Maria Maddalena,45.44347986369478,12.33077886853065
S. Maria Nova,45.439617963196596,12.338686907982133
S. Maria Zobenigo,45.43292689708375,12.333718407286336
S. Marina,45.438170434669075,12.338814377182832
S. Mattio,45.4387163334208,12.33306635569521
S. Maurizio,45.43283063786752,12.331453711017778
S. Moisé,45.43290573458555,12.336369770234121
S. Nicola,45.43729815476919,12.325173722521123
S. Pantalon,45.43566189431857,12.325638925497705
S. Paternian,45.43530216967779,12.335074345457237
S. Pietro di Castello,45.43388227799705,12.359475302735653
S. Polo,45.43723183741946,12.329867151081729
S. Samuele,45.43367032690647,12.329444599954028
S. Severo,45.436745459030206,12.34329597989606
S. Silvestro,45.437364958300904,12.33292113398461
S. Simon Grande,45.440282913349215,12.325853509437987
S. Sofia,45.440950869600215,12.335031867932306
S. Stae,45.440910874898165,12.329843101290392
S. Stin,45.4382627295664,12.326718222507347
S. Tomà,45.436525656495824,12.327163940201466
S. Trovaso,45.43164551224697,12.325830512732912
S. Vidal,45.43304363509257,12.330616802873735
S. Ziminian,45.4339782012687,12.335906569473392
S. Zulian,45.43572869151293,12.338700665424147
S. Apostoli,45.44111856181658,12.338571588086188
