,Ih0,r,Kr,br,Z,rr,rf,Kf,df,bh,rh,ph
Ih0,27644.169559208578,0.3423415946740138,-248.11859014055213,-287.29878846274636,-718.5502683633061,425.81469415480774,-61.4291986122152,361.1341585006076,-44.842070387558756,402.16772414724875,5.821136121757387,-8.636870002217417e-06
r,0.3423415946740138,0.0033724929765087375,0.06389291205862808,-0.3883808623276645,-0.4745578677625268,0.6710015536491639,-0.013060299970110696,0.5347081501412799,-0.12290696838626962,-0.1830571594696909,0.005515670608815743,3.380548842631869e-08
Kr,-248.1185901405521,0.06389291205862808,7.776971162348383,-1.6112535061661735,-4.978373936355344,6.414947506748617,0.9687075243871848,-9.76333240753503,2.9979293076839024,3.0505765970837126,-0.2461985114642976,-1.0820199938132128e-06
br,-287.29878846274636,-0.38838086232766456,-1.6112535061661735,100.67191202172167,72.88873846755162,-137.2796027010078,2.775167694840252,-98.90355906270146,29.08992539647328,20.213818734216083,1.9229830768751341,1.3203355918925372e-05
Z,-718.550268363306,-0.47455786776252684,-4.978373936355344,72.88873846755163,173.36334217791955,-112.16603268325929,1.8527923043879038,-162.52228098169417,26.978737318625583,-108.04830024980438,-0.2908921831622436,-1.768756340390503e-06
rr,425.81469415480774,0.671001553649164,6.414947506748619,-137.2796027010078,-112.1660326832593,204.4588819059166,-3.433370398258918,138.30499510958512,-33.60786744739079,-40.34237238115924,-1.866198116155504,-9.904061412396919e-06
rf,-61.4291986122152,-0.013060299970110698,0.9687075243871848,2.7751676948402526,1.852792304387904,-3.433370398258918,0.8198204926500214,-8.703459105182114,1.2777199662545875,2.7958558011894636,0.037022256096499756,6.620337381932552e-08
Kf,361.1341585006076,0.5347081501412798,-9.763332407535032,-98.90355906270146,-162.52228098169414,138.3049951095851,-8.703459105182114,389.249128988553,-46.18766932618565,50.173903456555735,-0.14366802490016248,1.9777458471289348e-07
df,-44.842070387558756,-0.12290696838626962,2.997929307683902,29.089925396473276,26.97873731862558,-33.60786744739078,1.2777199662545875,-46.18766932618565,24.499970403987415,4.66990627285427,0.20629782571451705,3.240996686834147e-07
bh,402.1677241472487,-0.18305715946969095,3.0505765970837126,20.213818734216094,-108.04830024980438,-40.342372381159244,2.7958558011894645,50.173903456555735,4.669906272854273,203.11434370713002,-0.7150459058281398,-5.692509023796989e-06
rh,5.821136121757387,0.005515670608815743,-0.24619851146429758,1.922983076875134,-0.29089218316224347,-1.866198116155504,0.03702225609649976,-0.1436680249001624,0.20629782571451696,-0.7150459058281398,0.6962713077620993,4.346024287619787e-06
ph,-8.636870002217417e-06,3.380548842631867e-08,-1.0820199938132128e-06,1.3203355918925372e-05,-1.768756340390503e-06,-9.904061412396917e-06,6.620337381932548e-08,1.977745847128937e-07,3.240996686834159e-07,-5.692509023796989e-06,4.346024287619787e-06,7.661280864284271e-11
