R0,max_inc_mean,max_inc_std,ttm_inc_mean,ttm_inc_std,max_epi_size_mean,max_epi_size_std,ttm_size_mean,ttm_size_std
0.1,1.0,0.0,9.375,8.609103708671807,1.0,0.0,9.375,8.609103708671807
0.45000000000000007,1.0,0.0,6.8125,4.182802091102726,1.4375,0.6291528696058958,9.4375,8.008068847522894
0.8,1.125,0.3415650255319866,4.375,4.645786621588784,1.75,1.3416407864998738,6.625,6.15223536610881
1.1500000000000001,1.1875,0.4031128874149275,6.8125,4.982887382498893,2.875,2.918332857414772,15.25,16.26243114256496
1.5000000000000002,1.25,0.4472135954999579,9.8125,13.387649781297188,5.875,7.553145040312677,27.75,35.199431813596085
1.8500000000000003,1.625,0.806225774829855,24.375,28.068665803703603,11.9375,14.484330613919765,38.9375,39.85217476290765
2.2,2.125,1.2041594578792296,22.75,27.704391950254625,17.0,23.108440016582687,35.9375,43.730185989390286
2.5500000000000003,2.0,1.2110601416389966,24.9375,44.04008590666765,25.25,51.05487244132532,44.8125,64.88987465955942
2.9000000000000004,2.8125,2.4005207768315606,25.8125,33.75641914263617,73.625,118.95033977813318,74.625,90.49926334875144
3.2500000000000004,5.625,3.159641329855864,59.375,52.044692332648104,186.5625,148.10310316352817,149.875,92.51801626350046
3.6000000000000005,5.4375,3.705289012569285,46.375,46.23833186149056,185.75,172.94103041210317,118.8125,98.51106113866943
3.9500000000000006,7.5,4.305035810923451,63.25,46.28822744499944,285.875,197.0985793961996,139.25,90.24374401216592
4.3,10.125,4.759201613716317,73.5,41.31182235954578,360.9375,179.6791469072951,145.75,68.31251715461816
4.65,9.875,6.3021160467470505,58.375,34.387740063381116,310.9375,199.86711210201642,122.3125,74.87386615724698
5.0,14.625,2.6044833140823407,58.9375,18.138242288968723,450.0,36.796738985948195,141.3125,25.045874577130128
