R0,max_inc_median,max_inc_std,time_to_max_median,time_to_max_std
1.0,63.0,5.566160513059505,1.0,1.0606601717798212
2.0,47.5,3.420004177106889,10.5,3.181980515339464
3.0,45.0,2.1998376563477846,21.0,6.8660656232559525
4.0,48.0,2.6726124191242437,30.5,5.994044663544928
5.0,48.5,3.370036032024414,29.0,9.47081984684687
6.0,50.0,1.4880476182856899,44.5,10.992692377861108
7.0,53.0,3.020761493398643,46.0,12.068258248100971
8.0,49.0,3.814914340921881,42.0,11.891623702662066
9.0,51.0,2.0,40.0,11.74734012447073
10.0,52.0,2.052872551885702,64.0,9.72111104761179
